"Reference","Qty","MPN","M","Description"
"C1,C3","2","GCM32ER71H475KA55K","Murata","4.7 µF ±10% 50V Ceramic Capacitor X7R 1210 (3225 Metric)"
"C2","1","GCM188R71E105KA64D","Murata","1 µF ±10% 25V Ceramic Capacitor X7R 0603 (1608 Metric)"
"C4,C6,C9,C10","4","TMK325ABJ476MM-P","TAIYO YUDEN","47 µF ±20% 25V Ceramic Capacitor X5R 1210 (3225 Metric)"
"C5","1","GCM155R71H104KE02J","MURATA","0.1 µF ±10% 50V Ceramic Capacitor X7R 0402 (1005 Metric)"
"C7","1","GRT1885C1E103FA02D","Murata","10000 pF ±1% 25V Ceramic Capacitor C0G, NP0 0603 (1608 Metric)"
"C8","1","CBR06C519C5GACAUTO","KEMET","5.1 pF ±0.25pF 50V Ceramic Capacitor C0G, NP0 0603 (1608 Metric)"
"C11","1","T521V226M025ATE040","KEMET","22 µF Molded Tantalum Polymer Capacitor 25 V 2917 (7343 Metric) 40mOhm @ 100kHz"
"C12","1","T521X107M025ATE060","Kemet","100 µF Molded Tantalum Polymer Capacitor 25 V 2917 (7343 Metric) 60mOhm @ 100kHz"
"H1,H2","2","","","Mounting Hole with connection"
"J1","1","LSHM-140-04.0-L-DV-A-N-K-TR","Samtec","80 Position Connector Self Mating, Non-Gendered, Hermaphroditic Surface Mount Gold"
"L1","1","XGL4020-332MEC","Coilcraft","3.3 µH Shielded Molded Inductor 6.6 A 34mOhm Max 1616 (4040 Metric)"
"R1","1","CRCW0603110KFKEA","Vishay","110 kOhms ±1% 0.1W, 1/10W Chip Resistor 0603 (1608 Metric) Automotive AEC-Q200 Thick Film"
"R2","1","CRCW06037K32FKTA","Vishay","7.32 kOhms ±1% 0.1W, 1/10W Chip Resistor 0603 (1608 Metric) Automotive AEC-Q200 Thick Film"
"R3","1","CRCW060320K0FKEA","VISHAY","20 kOhms ±1% 0.1W, 1/10W Chip Resistor 0603 (1608 Metric) Automotive AEC-Q200 Thick Film"
"R4","1","CRCW060347K5FKEA","Vishay","47.5 kOhms ±1% 0.125W, 1/8W Chip Resistor 0603 (1608 Metric) Automotive AEC-Q200 Thick Film"
"R5,R6","2","RCWE0603R500FKEA","Vishay","500 mOhms ±1% 0.2W, 1/5W Chip Resistor 0603 (1608 Metric) Automotive AEC-Q200, Current Sense, Moisture Resistant Thick Film"
"U1","1","LT8350SAV#PBF","Analog","Buck-Boost Switching Regulator IC Positive Adjustable 1V 1 Output 6A 32-TFQFN Exposed Pad, 28 Leads"
